"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 12 12:39:58 CET 2022","Sat Nov 12 12:39:58 CET 2022","1","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Then System should not allow access to userWithEmptyCredentials","Then System should not allow access to userWithEmptyCredentials",""
"passed","Wed Oct 12 11:55:52 CEST 2022","Wed Oct 12 11:55:52 CEST 2022","3","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","","",""
"skipped","Thu Nov 24 12:19:06 CET 2022","Thu Nov 24 12:19:06 CET 2022","0","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Then System should not allow access to userWithEmptyCredentials","Then System should not allow access to userWithEmptyCredentials",""
"passed","Fri Nov 11 17:31:44 CET 2022","Fri Nov 11 17:31:44 CET 2022","1","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithFakePassword fill username and password input and click Login button","When The userWithFakePassword fill username and password input and click Login button",""
"passed","Sat Nov 12 12:39:59 CET 2022","Sat Nov 12 12:39:59 CET 2022","1","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Then System should not allow access to userWithEmptyUserName","Then System should not allow access to userWithEmptyUserName",""
"passed","Thu Nov 24 12:18:56 CET 2022","Thu Nov 24 12:18:59 CET 2022","2825","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithFakePassword login","When The userWithFakePassword login",""
"broken","Thu Nov 24 12:19:05 CET 2022","Thu Nov 24 12:19:06 CET 2022","820","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Given The userWithEmptyCredentials navigate to the login page","Given The userWithEmptyCredentials navigate to the login page",""
"passed","Thu Nov 24 12:19:00 CET 2022","Thu Nov 24 12:19:05 CET 2022","5161","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithFakeUserName login","When The userWithFakeUserName login",""
"passed","Sat Nov 12 12:39:57 CET 2022","Sat Nov 12 12:39:57 CET 2022","1","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Then System should not allow access to userWithFakePassword","Then System should not allow access to userWithFakePassword",""
"passed","Fri Nov 11 17:31:44 CET 2022","Fri Nov 11 17:31:44 CET 2022","1","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithFakeUserName fill username and password input and click Login button","When The userWithFakeUserName fill username and password input and click Login button",""
"passed","Thu Nov 24 12:18:59 CET 2022","Thu Nov 24 12:19:00 CET 2022","1149","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Given The userWithFakeUserName navigate to the login page","Given The userWithFakeUserName navigate to the login page",""
"passed","Tue Nov 15 20:17:08 CET 2022","Tue Nov 15 20:17:08 CET 2022","41","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Then System should not allow access to userWithFakeCredentials","Then System should not allow access to userWithFakeCredentials",""
"passed","Sat Nov 12 12:39:57 CET 2022","Sat Nov 12 12:39:57 CET 2022","1","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Then System should not allow access to userWithFakeUserName","Then System should not allow access to userWithFakeUserName",""
"passed","Sat Nov 12 12:39:57 CET 2022","Sat Nov 12 12:39:57 CET 2022","70","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Given The userWithFakeUserName navigate to the login page","Given The userWithFakeUserName navigate to the login page",""
"broken","Thu Nov 24 12:19:06 CET 2022","Thu Nov 24 12:19:10 CET 2022","3608","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithEmptyPasswsord login","When The userWithEmptyPasswsord login",""
"passed","Fri Nov 11 17:26:53 CET 2022","Fri Nov 11 17:26:53 CET 2022","3","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Given I am on the login page","Given I am on the login page",""
